data_sn,refresh
1535,223.21180959999998
1536,220.3545038
1537,219.67394720000001
1538,215.7306131
1539,222.65852
1540,217.0601095
1541,223.997148
1542,222.0354496
1543,219.5574037
1544,221.62521490000003
1545,217.927883
1546,210.30461699999998
1547,212.18588730000002
1548,219.41845580000003
1549,218.70289669999997
1550,223.5686154
1551,218.104846
1552,217.3666128
1553,212.69381690000003
1554,216.5853986
1555,216.2608006
1556,218.0930333
1557,223.2480417
1558,223.5220796
1559,215.94646040000003
1560,223.1349761
1561,222.263
1562,222.6848824
1563,219.56006319999997
1564,219.33754950000002
1565,212.4178991
1566,208.3292942
1567,204.0114485
1568,206.13121940000002
1569,202.8524837
1570,208.31692230000002
1571,210.4589464
1572,206.7553138
1573,211.15326409999997
1574,205.22385559999998
1575,206.17247890000002
1576,198.0766591
1577,207.05705030000001
1578,209.81918030000003
1579,211.9331187
1580,210.36133030000002
1581,212.01926690000002
1582,201.9265141
1583,203.4310314
1584,199.0668947
1585,206.3998741
1586,199.4745063
1587,205.1466736
1588,209.7390027
1589,207.9297008
1590,207.2882546
1591,207.82493440000002
1592,208.53929130000003
1593,203.6972242
1594,200.5286024
1595,200.33623290000003
1596,197.4795331
1597,201.3699114
1598,203.76031650000002
1599,200.00390819999998
1600,196.76165469999998
1601,202.4549249
1602,199.2907574
1603,203.7489142
1604,195.5420284
1605,194.6032457
1606,189.423885
1607,194.5462554
1608,187.19807360000001
1609,190.1045934
1610,191.9504355
1611,183.1439498
1612,219.5693378
1613,201.5928257
1614,208.50138619999998
1615,196.0695915
1616,201.0832446
1617,201.9469532
1618,189.0160981
1619,196.3497445
1620,201.245404
1621,190.8180145
1622,203.0752088
1623,205.4582912
1624,207.8432561
1625,203.63162130000003
1626,207.82239769999998
1627,208.3071122
1628,207.3786224
1629,180.9707427
1630,219.03748199999998
1631,219.23931140000002
1632,214.34767050000002
1633,221.7368812
1634,209.77840120000002
1635,208.13040890000002
1636,211.6647937
1637,211.89623500000002
1638,199.3294871
1639,195.035865
1640,193.868516
1641,197.4099009
1642,193.72126719999997
1643,189.8582906
1644,195.04063469999997
1645,190.08530109999998
1646,214.3852037
1647,207.6294348
1648,207.2428176
1649,203.4299833
1650,206.7032341
1651,207.50160549999998
1652,208.58777659999998
1653,207.42675659999998
1654,211.48609309999998
1655,210.1102169
1656,218.2263127
1657,212.40875699999998
1658,212.98331910000002
1659,212.46888819999998
1660,211.4531969
1661,203.214503
1662,203.9179101
1663,193.4272735
1664,201.5387587
1665,190.4324572
1666,204.8961354
1667,203.59643369999998
1668,208.8891173
1669,207.31878989999998
1670,208.88882619999998
1671,208.51539509999998
1672,194.5295829
1673,200.6551682
1674,205.2645317
1675,208.27458959999998
1676,205.19511830000002
1677,192.42839819999998
1678,194.32849199999998
1679,193.5918114
1680,206.41271310000002
1681,194.26149669999998
1682,202.6710417
1683,194.81318269999997
1684,203.81873149999998
1685,187.13580149999999
1686,204.1859798
1687,214.7038096
1688,210.9927685
1689,214.10996180000004
1690,198.6088821
1691,202.5312966
1692,200.87212
1693,209.5397723
1694,219.69044920000002
1695,219.2425542
1696,221.65319469999997
1697,219.8825548
1698,212.8361676
1699,210.85554249999998
1700,213.2158469
1701,209.6124074
1702,215.0030625
1703,213.4217917
1704,203.9555632
1705,205.9189756
1706,202.3805334
1707,213.32714330000002
1708,208.5628534
1709,206.7727677
1710,198.7290607
1711,197.4772929
1712,226.6212853
1713,222.2197543
1714,227.8619866
1715,224.96855449999998
1716,233.59733849999998
1717,226.04572059999998
1718,217.72964109999998
1719,237.13790649999999
1720,229.26676290000003
1721,231.1515849
1722,233.91452369999996
1723,233.0467355
1724,226.56807769999998
1725,235.6218463
1726,235.3003124
1727,229.8863861
1728,226.96500130000004
1729,233.83312290000003
1730,235.2825668
1731,220.4932665
1732,216.09745139999998
1733,221.08318939999998
1734,217.53810130000002
1735,219.0313818
1736,214.0580869
1737,222.94929280000002
1738,226.0950852
1739,225.567894
1740,226.39803250000003
1741,222.5786235
1742,224.8044128
1743,219.4355145
1744,244.9710004
1745,241.3532236
1746,243.9324807
1747,242.345586
1748,232.1520762
1749,234.61873599999998
1750,237.9218131
1751,241.8086941
1752,239.7591492
1753,217.8020557
1754,216.1086866
1755,220.71888149999998
1756,233.05190519999996
1757,230.1911799
1758,229.54020649999998
1759,227.8230509
1760,221.8858369
1761,220.3686124
1762,213.48404900000003
1763,218.3177727
1764,209.1572476
1765,238.5948009
1766,238.99031430000002
1767,239.6863857
1768,234.3093619
1769,222.8850951
1770,226.94377110000002
1771,226.7979998
1772,210.4694247
1773,213.7044556
1774,221.3934404
1775,222.9477558
1776,215.91032169999997
1777,220.3748319
1778,227.96009109999997
1779,222.0919341
1780,222.7173352
1781,218.7356105
1782,219.39487549999998
1783,221.8705809
1784,222.8216611
1785,234.92292700000002
1786,235.2526293
1787,235.84565099999998
1788,234.78978270000002
1789,210.2764212
1790,224.744073
1791,228.6526924
1792,228.86602290000002
1793,239.60757880000003
1794,233.71371499999998
1795,227.6392365
1796,228.16857599999997
1797,233.6823347
1798,236.5606235
1799,232.09873109999998
1800,235.7116776
1801,236.11326150000002
1802,221.7249365
1803,218.6150495
1804,217.33755130000003
1805,218.7735356
1806,216.0020712
1807,222.3553847
1808,217.00327230000002
1809,214.3844506
1810,216.8962656
1811,210.09398140000002
1812,221.2318295
1813,210.6147464
1814,216.2958971
1815,215.78309280000002
1816,209.9287905
1817,213.4052449
1818,203.4791742
1819,220.21438799999999
1820,220.01776459999996
1821,220.34495980000003
1822,224.17029559999997
1823,219.0669753
1824,221.9647534
1825,214.4037864
1826,212.19460069999997
1827,226.62175319999997
1828,220.03712430000002
1829,216.9844674
1830,219.0522972
1831,219.25348760000003
1832,215.8334196
1833,219.69492569999997
1834,216.75169300000002
1835,218.57393059999998
1836,202.65867360000001
1837,203.9857331
1838,209.305904
1839,214.94476919999997
1840,212.7893108
1841,218.33482059999997
1842,217.19902090000002
1843,223.051451
1844,221.9973329
1845,219.50257200000001
1846,231.5865366
1847,225.89015469999998
1848,231.53703849999997
1849,213.6294236
1850,215.69215309999998
1851,209.24485869999998
1852,202.2594904
1853,212.60200809999998
1854,205.01779109999998
1855,212.55234449999998
1856,203.1610568
1857,217.0016756
1858,206.7196528
1859,204.71052769999997
1860,202.83053619999998
1861,212.36218250000002
1862,210.67080269999997
1863,214.0093353
1864,215.28828109999998
1865,217.2776139
1866,214.86866899999998
1867,216.9249954
1868,214.94100919999997
1869,211.82501000000002
1870,213.8683703
1871,203.0757274
1872,207.0637051
1873,207.9530908
1874,224.46246430000002
1875,220.993946
1876,223.97654939999998
1877,203.575523
1878,204.3049013
1879,199.0753479
1880,197.1765796
1881,200.8127112
1882,208.1931646
1883,211.93441349999998
1884,208.12750419999998
1885,205.7220053
1886,196.36606619999998
1887,205.1565496
1888,211.0542883
1889,214.57551580000003
1890,214.732598
1891,201.4021861
1892,207.4127926
1893,209.3119508
1894,220.18112090000002
1895,218.3266313
1896,222.005244
1897,221.2566046
1898,225.97287400000002
1899,220.73376749999997
1900,205.2169599
1901,209.2031703
1902,207.21893799999998
1903,209.6537746
1904,223.8258222
1905,227.36990350000002
1906,220.8391731
1907,219.42588109999997
1908,220.9595406
1909,230.954014
1910,228.7454537
1911,226.68404590000003
1912,231.63564019999998
1913,221.86284049999998
1914,225.25321269999998
1915,225.50520899999998
1916,229.73264019999996
1917,227.99717330000001
1918,220.73262340000002
1919,220.81220159999998
1920,223.27179219999996
1921,231.07238450000003
1922,224.01170750000003
1923,228.76317310000002
1924,227.9782397
1925,224.3444912
1926,211.26694980000002
1927,206.24364690000002
1928,216.4513453
1929,210.80197180000005
1930,218.25789
1931,225.92756780000002
1932,230.0329486
1933,229.63833430000003
1934,231.9425542
1935,214.7664216
1936,213.04338930000003
1937,212.3794793
1938,203.79558740000002
1939,217.34947110000002
1940,226.2894045
1941,220.81428050000002
1942,222.8379964
1943,225.6758437
1944,213.20299159999996
1945,216.5860156
1946,220.1018046
1947,219.20740409999996
1948,218.3065856
1949,223.463737
1950,206.5600694
1951,203.81394469999998
1952,202.807251
1953,253.17082969999998
1954,251.84301290000002
1955,250.97635530000002
1956,250.3515149
1957,237.3261349
1958,239.6750437
1959,239.3487685
1960,251.55494199999998
1961,239.11807579999999
1962,240.7392534
1963,237.89715759999999
1964,241.48052769999998
1965,237.66448259999999
1966,216.57190830000002
1967,217.1724188
1968,244.1761734
1969,241.06655550000002
1970,245.2541171
1971,244.44012659999999
1972,249.19552149999998
1973,248.3018047
1974,245.16181559999998
1975,241.5639309
1976,240.50957519999997
1977,237.7769926
1978,245.347536
1979,251.65641949999997
1980,253.51401659999996
1981,254.4389741
1982,254.0380953
1983,250.14844010000002
1984,250.1627088
1985,249.1075048
1986,244.4610776
1987,231.9006925
1988,220.72051890000003
1989,235.95498650000002
1990,225.27252369999997
1991,232.52375940000002
1992,245.55992909999998
1993,244.8503918
1994,246.25202969999998
1995,237.872221
1996,238.61222990000002
1997,227.3433603
1998,231.06716040000003
1999,223.37663769999997
2000,250.04351549999998
2001,246.0956358
2002,248.8548108
2003,250.05322519999999
2004,260.59388340000004
2005,252.65323590000003
2006,215.5506349
2007,217.4567953
2008,215.66502400000002
2009,217.2816344
2010,215.9387546
2011,216.420643
2012,209.61455159999997
2013,198.0364592
2014,203.3540937
2015,203.1140112
2016,213.49429249999997
2017,218.8050232
2018,215.7261792
2019,217.9311361
2020,217.97723430000002
2021,214.99678109999996
2022,215.8957386
2023,214.4931983
2024,219.90873030000003
2025,214.21488119999998
2026,208.7654324
2027,207.7907189
2028,215.2590247
2029,209.8437162
2030,219.7093056
2031,218.49029649999997
2032,215.2083455
2033,215.13865519999996
2034,215.459355
2035,211.3647827
2036,207.23558169999998
2037,209.28142739999998
2038,213.94624680000004
2039,255.92306200000002
2040,230.9619693
2041,228.9324606
2042,210.9410744
2043,209.4712635
2044,212.7667393
2045,211.524181
2046,211.05714730000003
2047,228.0364962
2048,225.1549224
2049,233.1746014
2050,228.18120530000004
2051,209.5771947
2052,211.1229233
2053,216.3595562
2054,216.7510576
2055,215.09257979999998
2056,203.63975
2057,212.15797149999997
2058,202.3640682
2059,227.7174501
2060,221.9510043
2061,214.3310502
2062,226.2838937
2063,215.94914590000002
2064,222.72001859999997
2065,223.54274069999997
2066,235.6969565
2067,207.1630716
2068,211.4129599
2069,212.4696364
2070,213.993888
2071,216.40994480000003
2072,218.0028855
2073,197.6634321
2074,231.84564590000002
2075,236.09887769999997
2076,220.2153125
2077,177.93404219999996
2078,220.31110669999998
2079,220.36708240000002
2080,219.2254202
2081,203.12126659999998
2082,227.9892182
2083,232.57238199999998
2084,215.41583590000002
2085,222.0296588
2086,216.3256855
2087,219.48182110000002
2088,211.98482140000002
2089,198.8292118
2090,192.0402556
2091,219.72068330000002
2092,217.80979920000001
2093,184.1600149
2094,205.0846358
2095,222.5546739
2096,225.54692340000003
2097,215.2994438
2098,221.84401519999997
2099,223.79087919999998
2100,226.0146606
2101,223.49272620000002
2102,225.59720330000002
2103,221.7207755
2104,219.08209330000003
2105,215.07654130000003
2106,231.29636380000002
2107,235.77663080000002
2108,236.4158795
2109,233.80916200000001
2110,221.624361
2111,216.8744712
2112,217.05530330000002
2113,218.6017643
2114,215.5422798
2115,216.2652215
2116,210.8401414
2117,216.147481
2118,210.6239846
2119,221.8342065
2120,221.39466869999998
2121,223.29583080000003
2122,223.08108109999998
2123,226.61212909999998
2124,214.8389437
2125,214.9243824
2126,213.0496153
2127,214.7043989
2128,215.65726400000003
2129,223.89137659999997
2130,223.2801002
2131,222.46914249999998
2132,220.7033855
2133,216.054125
2134,214.80080319999996
2135,225.04456890000003
2136,219.2773406
2137,219.60947819999996
2138,224.9117344
2139,217.29937280000001
2140,224.743106
2141,217.0346079
2142,224.35516280000002
2143,230.31255240000002
2144,228.1428017
2145,229.2388276
2146,229.46630719999996
2147,220.14796319999996
2148,219.475325
2149,222.01100719999997
2150,235.7244567
2151,233.1522162
2152,200.78758359999998
2153,204.0572961
2154,197.97048869999998
2155,210.06036540000002
2156,213.2353816
2157,207.773763
2158,213.1157784
2159,215.5631335
2160,207.1360156
2161,210.7815608
2162,201.82814150000002
2163,200.5841017
2164,197.54580990000002
2165,209.99295809999998
2166,205.7967382
2167,214.16285630000002
2168,211.36072689999997
2169,211.45415130000004
2170,210.55069069999996
2171,201.1993218
2172,195.77301780000002
2173,203.9537785
2174,218.1274358
2175,211.89988140000003
2176,217.6023741
2177,211.3733045
2178,205.23946819999998
2179,208.9640479
2180,208.1485115
2181,205.7696041
2182,209.6708878
2183,210.19397290000003
2184,212.5031895
2185,188.84294599999998
2186,195.7313084
2187,191.85341830000002
2188,199.00101840000002
2189,194.9696915
2190,200.69889799999999
2191,209.73042909999998
2192,205.5357208
2193,209.76408450000002
2194,210.5059503
2195,209.0778707
2196,207.7672782
2197,199.1528847
2198,205.1307625
2199,210.2417434
2200,215.5236219
2201,217.7139659
2202,231.2912722
2203,233.93479109999998
2204,231.99980719999996
2205,235.8696097
2206,228.9449415
2207,221.49337000000003
2208,229.9409574
2209,222.9138924
2210,219.29160380000002
2211,219.09403089999998
2212,219.48411980000003
2213,223.66410730000004
2214,220.3783064
2215,222.71875740000002
2216,220.0485469
